
"CenterPos","recipient sister","donor"
"21641","0.35","0.98"
"21661","0.28","0.98"
"21681","0.34","0.98"
"21701","0.42","0.98"
"21721","0.51","0.98"
"21741","0.54","0.99"
"21761","0.47","0.98"
"21781","0.45","0.98"
"21801","0.46","0.99"
"21821","0.47","0.99"
"21841","0.47","0.99"
"21861","0.52","0.98"
"21881","0.51","0.98"
"21901","0.43","0.98"
"21921","0.38","0.98"
"21941","0.27","0.98"
"21961","0.19","0.98"
"21981","0.31","0.98"
"22001","0.35","0.98"
"22021","0.39","0.97"
"22041","0.34","0.97"
"22061","0.32","0.98"
"22081","0.25","0.98"
"22101","0.24","0.97"
"22121","0.28","0.97"
"22141","0.35","0.97"
"22161","0.43","0.97"
"22181","0.36","0.97"
"22201","0.30","0.97"
"22221","0.27","0.98"
"22241","0.21","0.98"
"22261","0.28","0.98"
"22281","0.40","0.99"
"22301","0.47","0.99"
"22321","0.42","0.99"
"22341","0.43","0.99"
"22361","0.47","0.99"
"22381","0.42","0.98"
"22401","0.48","0.99"
"22421","0.52","0.99"
"22441","0.58","0.98"
"22461","0.58","0.98"
"22481","0.54","0.98"
"22501","0.56","0.98"
"22521","0.61","0.98"
"22541","0.65","0.98"
"22561","0.64","0.98"
"22581","0.71","0.98"
"22601","0.68","0.98"
"22621","0.61","0.98"
"22641","0.61","0.99"
"22661","0.61","0.99"
"22681","0.64","0.99"
"22701","0.62","0.98"
"22721","0.64","0.98"
"22741","0.58","0.99"
"22761","0.56","0.99"
"22781","0.44","0.99"
"22801","0.48","0.99"
"22821","0.53","0.99"
"22841","0.48","0.99"
"22861","0.43","0.99"
"22881","0.41","0.99"
"22901","0.38","1.00"
"22921","0.31","1.00"
"22941","0.33","1.00"
"22961","0.43","1.00"
"22981","0.59","0.99"
"23001","0.57","0.99"
"23021","0.63","0.99"
"23041","0.73","0.99"
"23061","0.77","0.99"
"23081","0.77","0.98"
"23101","0.78","0.98"
"23121","0.76","0.98"
"23141","0.78","0.98"
"23161","0.73","0.97"
"23181","0.71","0.98"
"23201","0.73","0.98"
"23221","0.74","0.98"
"23241","0.70","0.98"
"23261","0.73","0.98"
"23281","0.70","0.99"
"23301","0.74","0.99"
"23321","0.75","0.99"
"23341","0.74","0.99"
"23361","0.79","1.00"
"23381","0.80","0.99"
"23401","0.81","0.99"
"23421","0.81","0.99"
"23441","0.81","0.99"
"23461","0.76","0.99"
"23481","0.80","0.99"
"23501","0.78","0.99"
"23521","0.79","0.99"
"23541","0.79","0.99"
"23561","0.78","0.99"
"23581","0.79","0.99"
"23601","0.77","1.00"
"23621","0.77","1.00"
"23641","0.74","1.00"
"23661","0.77","1.00"
"23681","0.75","0.99"
"23701","0.74","0.99"
"23721","0.71","0.97"
"23741","0.70","0.95"
"23761","0.70","0.94"
"23781","0.68","0.94"
"23801","0.69","0.93"
"23821","0.68","0.92"
"23841","0.72","0.91"
"23861","0.73","0.90"
"23881","0.73","0.89"
"23901","0.76","0.89"
"23921","0.80","0.90"
"23941","0.83","0.92"
"23961","0.84","0.92"
"23981","0.85","0.92"
"24001","0.84","0.92"
"24021","0.85","0.91"
"24041","0.85","0.89"
"24061","0.85","0.90"
"24081","0.87","0.91"
"24101","0.88","0.92"
"24121","0.89","0.91"
"24141","0.90","0.91"
"24161","0.90","0.92"
"24181","0.91","0.91"
"24201","0.92","0.90"
"24221","0.92","0.91"
"24241","0.94","0.94"
"24261","0.94","0.94"
"24281","0.94","0.93"
"24301","0.93","0.92"
"24321","0.92","0.91"
"24341","0.90","0.90"
"24361","0.90","0.89"
"24381","0.90","0.90"
"24401","0.89","0.89"
"24421","0.90","0.89"
"24441","0.89","0.89"
"24461","0.89","0.89"
"24481","0.89","0.90"
"24501","0.89","0.91"
"24521","0.90","0.93"
"24541","0.90","0.93"
"24561","0.88","0.92"
"24581","0.88","0.92"
"24601","0.89","0.92"
"24621","0.88","0.90"
"24641","0.88","0.90"
"24661","0.87","0.89"
"24681","0.88","0.89"
"24701","0.87","0.88"
"24721","0.86","0.86"
"24741","0.85","0.86"
"24761","0.87","0.87"
"24781","0.87","0.88"
"24801","0.87","0.89"
"24821","0.88","0.90"
"24841","0.89","0.92"
"24861","0.90","0.93"
"24881","0.91","0.93"
"24901","0.92","0.93"
"24921","0.92","0.94"
"24941","0.94","0.96"
"24961","0.95","0.96"
"24981","0.95","0.96"
"25001","0.95","0.96"
"25021","0.94","0.97"
"25041","0.93","0.96"
"25061","0.92","0.96"
"25081","0.90","0.95"
"25101","0.86","0.94"
"25121","0.86","0.94"
"25141","0.86","0.93"
"25161","0.87","0.93"
"25181","0.88","0.93"
"25201","0.86","0.93"
"25221","0.87","0.93"
"25241","0.89","0.94"
"25261","0.87","0.93"
"25281","0.82","0.94"
"25301","0.85","0.95"
"25321","0.87","0.95"
"25341","0.86","0.95"
"25361","0.87","0.96"
"25381","0.87","0.96"
"25401","0.88","0.96"
"25421","0.85","0.96"
"25441","0.84","0.95"
"25461","0.82","0.96"
"25481","0.87","0.97"
"25501","0.85","0.97"
"25521","0.81","0.97"
"25541","0.80","0.97"
"25561","0.77","0.96"
"25581","0.72","0.95"
"25601","0.68","0.93"
"25621","0.70","0.93"
"25641","0.72","0.93"
"25661","0.75","0.93"
"25681","0.76","0.93"
"25701","0.80","0.93"
"25721","0.82","0.91"
"25741","0.83","0.90"
"25761","0.86","0.90"
"25781","0.91","0.90"
"25801","0.94","0.90"
"25821","0.95","0.90"
"25841","0.95","0.91"
"25861","0.95","0.90"
"25881","0.96","0.90"
"25901","0.96","0.90"
"25921","0.98","0.92"
"25941","0.98","0.93"
"25961","0.98","0.94"
"25981","0.98","0.96"
"26001","0.98","0.96"
"26021","0.98","0.96"
"26041","0.98","0.96"
"26061","0.99","0.97"
"26081","0.99","0.97"
"26101","0.99","0.97"
"26121","0.99","0.97"
"26141","0.99","0.97"
"26161","0.99","0.97"
"26181","0.99","0.97"
"26201","0.99","0.98"
"26221","0.99","0.99"
"26241","0.99","0.98"
"26261","0.99","0.98"
"26281","0.98","0.98"
"26301","0.98","0.98"
"26321","0.98","0.98"
"26341","0.98","0.99"
"26361","0.97","0.98"
"26381","0.95","0.97"
"26401","0.94","0.97"
"26421","0.94","0.97"
"26441","0.93","0.98"
"26461","0.93","0.97"
"26481","0.94","0.97"
"26501","0.94","0.98"
"26521","0.93","0.98"
"26541","0.93","0.98"
"26561","0.94","0.98"
"26581","0.96","0.99"
"26601","0.97","0.99"
"26621","0.97","0.99"
"26641","0.98","0.99"
"26661","0.98","0.99"
"26681","0.97","0.99"
"26701","0.97","0.99"
"26721","0.97","0.99"
"26741","0.96","0.98"
"26761","0.96","0.98"
"26781","0.96","0.98"
"26801","0.96","0.98"
"26821","0.96","0.97"
"26841","0.96","0.96"
"26861","0.96","0.97"
"26881","0.97","0.97"
"26901","0.97","0.97"
"26921","0.97","0.96"
"26941","0.98","0.97"
"26961","0.98","0.97"
"26981","0.98","0.96"
"27001","0.98","0.96"
"27021","0.98","0.97"
"27041","0.98","0.98"
"27061","0.99","0.98"
"27081","0.99","0.98"
"27101","0.99","0.98"
"27121","1.00","0.98"
"27141","1.00","0.97"
"27161","1.00","0.97"
"27181","0.99","0.98"
"27201","0.99","0.98"
"27221","0.99","0.97"
"27241","0.99","0.97"
"27261","0.99","0.97"
"27281","0.99","0.96"
"27301","0.99","0.96"
"27321","0.99","0.97"
"27341","0.99","0.97"
"27361","0.99","0.97"
"27381","1.00","0.97"
"27401","1.00","0.96"
"27421","1.00","0.95"
"27441","1.00","0.95"
"27461","1.00","0.94"
"27481","1.00","0.95"
"27501","1.00","0.95"
"27521","1.00","0.94"
"27541","1.00","0.94"
"27561","1.00","0.94"
"27581","1.00","0.94"
"27601","1.00","0.94"
"27621","1.00","0.96"
"27641","1.00","0.95"
"27661","1.00","0.96"
"27681","1.00","0.96"
"27701","0.99","0.95"
"27721","0.99","0.97"
"27741","0.99","0.97"
"27761","0.99","0.98"
"27781","0.95","0.98"
"27801","0.91","0.98"
"27821","0.88","0.97"
"27841","0.81","0.98"
"27861","0.74","0.96"
"27881","0.66","0.94"
"27901","0.60","0.94"
"27921","0.46","0.92"
"27941","0.36","0.90"
"27961","0.26","0.89"
"27981","0.33","0.89"
"28001","0.32","0.88"
"28021","0.34","0.88"
"28041","0.39","0.86"
"28061","0.35","0.87"
"28081","0.39","0.87"
"28101","0.42","0.89"
"28121","0.52","0.91"
"28141","0.57","0.91"
"28161","0.64","0.93"
"28181","0.68","0.92"
"28201","0.76","0.93"
"28221","0.79","0.94"
"28241","0.84","0.95"
"28261","0.92","0.96"
"28281","0.93","0.95"
"28301","0.94","0.95"
"28321","0.96","0.95"
"28341","0.97","0.96"
"28361","0.97","0.96"
"28381","0.98","0.97"
"28401","0.98","0.97"
"28421","0.98","0.97"
"28441","0.98","0.98"
"28461","0.98","0.98"
"28481","0.99","0.99"
"28501","0.99","0.99"
"28521","0.99","0.98"
"28541","0.99","0.98"
"28561","0.98","0.98"
"28581","0.98","0.98"
"28601","0.96","0.96"
"28621","0.97","0.96"
"28641","0.97","0.95"
"28661","0.97","0.95"
"28681","0.96","0.95"
"28701","0.96","0.95"
"28721","0.96","0.95"
"28741","0.96","0.95"
"28761","0.96","0.95"
"28781","0.97","0.95"
"28801","0.98","0.97"
"28821","0.98","0.97"
"28841","0.98","0.97"
"28861","0.98","0.97"
"28881","0.99","0.98"
"28901","0.99","0.99"
"28921","1.00","0.99"
"28941","1.00","0.99"
"28961","1.00","0.99"
"28981","0.99","0.98"
"29001","0.99","0.97"
"29021","0.98","0.97"
"29041","0.98","0.96"
"29061","0.98","0.96"
"29081","0.98","0.96"
"29101","0.97","0.96"
"29121","0.97","0.96"
"29141","0.97","0.96"
"29161","0.97","0.96"
"29181","0.98","0.97"
"29201","0.98","0.98"
"29221","0.98","0.97"
"29241","0.98","0.98"
"29261","0.98","0.98"
"29281","0.98","0.98"
"29301","0.99","0.99"
"29321","0.99","0.99"
"29341","0.99","0.98"
"29361","0.99","0.98"
"29381","0.99","0.98"
"29401","0.98","0.98"
"29421","0.99","0.99"
"29441","0.99","0.98"
"29461","0.99","0.98"
"29481","0.99","0.97"
"29501","0.99","0.97"
"29521","0.99","0.97"
"29541","0.99","0.97"
"29561","0.99","0.97"
"29581","0.99","0.97"
"29601","0.99","0.98"
"29621","0.99","0.98"
"29641","0.99","0.99"
"29661","0.99","0.99"
"29681","1.00","0.99"
"29701","1.00","0.99"
"29721","1.00","0.99"
"29741","1.00","1.00"
"29761","1.00","1.00"
"29781","1.00","1.00"
