
"CenterPos","n40","Pangolins"
"21641","0.50","0.75"
"21661","0.44","0.74"
"21681","0.38","0.75"
"21701","0.34","0.74"
"21721","0.33","0.70"
"21741","0.32","0.71"
"21761","0.33","0.69"
"21781","0.25","0.67"
"21801","0.35","0.67"
"21821","0.31","0.69"
"21841","0.39","0.72"
"21861","0.45","0.71"
"21881","0.51","0.68"
"21901","0.43","0.66"
"21921","0.43","0.66"
"21941","0.43","0.67"
"21961","0.44","0.70"
"21981","0.46","0.74"
"22001","0.42","0.74"
"22021","0.42","0.73"
"22041","0.42","0.74"
"22061","0.28","0.76"
"22081","0.08","0.77"
"22101","-0.04","0.81"
"22121","-0.10","0.82"
"22141","0.04","0.81"
"22161","0.05","0.82"
"22181","0.03","0.81"
"22201","0.05","0.83"
"22221","0.15","0.81"
"22241","0.14","0.80"
"22261","0.12","0.78"
"22281","0.28","0.78"
"22301","0.32","0.78"
"22321","0.29","0.76"
"22341","0.22","0.75"
"22361","0.28","0.73"
"22381","0.36","0.71"
"22401","0.38","0.69"
"22421","0.41","0.74"
"22441","0.45","0.75"
"22461","0.47","0.77"
"22481","0.48","0.79"
"22501","0.53","0.78"
"22521","0.61","0.79"
"22541","0.56","0.79"
"22561","0.58","0.81"
"22581","0.58","0.82"
"22601","0.62","0.83"
"22621","0.58","0.83"
"22641","0.54","0.85"
"22661","0.58","0.85"
"22681","0.58","0.84"
"22701","0.62","0.85"
"22721","0.62","0.85"
"22741","0.68","0.86"
"22761","0.66","0.85"
"22781","0.62","0.85"
"22801","0.64","0.85"
"22821","0.64","0.83"
"22841","0.71","0.80"
"22861","0.71","0.80"
"22881","0.73","0.80"
"22901","0.73","0.78"
"22921","0.68","0.76"
"22941","0.67","0.76"
"22961","0.67","0.76"
"22981","0.70","0.78"
"23001","0.67","0.77"
"23021","0.71","0.76"
"23041","0.67","0.77"
"23061","0.65","0.71"
"23081","0.54","0.69"
"23101","0.51","0.69"
"23121","0.57","0.65"
"23141","0.60","0.68"
"23161","0.58","0.66"
"23181","0.58","0.63"
"23201","0.64","0.68"
"23221","0.59","0.71"
"23241","0.58","0.70"
"23261","0.59","0.74"
"23281","0.61","0.78"
"23301","0.65","0.80"
"23321","0.61","0.84"
"23341","0.63","0.83"
"23361","0.66","0.83"
"23381","0.70","0.85"
"23401","0.63","0.83"
"23421","0.67","0.82"
"23441","0.66","0.83"
"23461","0.64","0.82"
"23481","0.69","0.81"
"23501","0.68","0.80"
"23521","0.70","0.79"
"23541","0.68","0.79"
"23561","0.67","0.80"
"23581","0.65","0.78"
"23601","0.69","0.76"
"23621","0.66","0.74"
"23641","0.65","0.70"
"23661","0.69","0.71"
"23681","0.68","0.71"
"23701","0.68","0.73"
"23721","0.72","0.75"
"23741","0.74","0.75"
"23761","0.71","0.75"
"23781","0.73","0.78"
"23801","0.74","0.81"
"23821","0.75","0.81"
"23841","0.77","0.85"
"23861","0.75","0.87"
"23881","0.74","0.86"
"23901","0.75","0.87"
"23921","0.73","0.86"
"23941","0.74","0.87"
"23961","0.75","0.87"
"23981","0.74","0.86"
"24001","0.72","0.88"
"24021","0.71","0.91"
"24041","0.72","0.91"
"24061","0.73","0.92"
"24081","0.74","0.93"
"24101","0.71","0.94"
"24121","0.71","0.94"
"24141","0.70","0.93"
"24161","0.71","0.92"
"24181","0.70","0.93"
"24201","0.69","0.93"
"24221","0.69","0.90"
"24241","0.71","0.91"
"24261","0.70","0.91"
"24281","0.73","0.90"
"24301","0.78","0.88"
"24321","0.78","0.88"
"24341","0.79","0.88"
"24361","0.78","0.89"
"24381","0.77","0.88"
"24401","0.75","0.87"
"24421","0.76","0.87"
"24441","0.76","0.86"
"24461","0.77","0.86"
"24481","0.78","0.86"
"24501","0.75","0.84"
"24521","0.76","0.84"
"24541","0.76","0.86"
"24561","0.77","0.87"
"24581","0.77","0.86"
"24601","0.81","0.86"
"24621","0.83","0.86"
"24641","0.84","0.88"
"24661","0.85","0.87"
"24681","0.83","0.87"
"24701","0.86","0.90"
"24721","0.87","0.88"
"24741","0.85","0.87"
"24761","0.85","0.87"
"24781","0.86","0.89"
"24801","0.88","0.90"
"24821","0.87","0.90"
"24841","0.84","0.88"
"24861","0.83","0.90"
"24881","0.80","0.89"
"24901","0.78","0.89"
"24921","0.76","0.90"
"24941","0.76","0.90"
"24961","0.75","0.90"
"24981","0.75","0.91"
"25001","0.74","0.91"
"25021","0.73","0.91"
"25041","0.73","0.90"
"25061","0.76","0.90"
"25081","0.78","0.90"
"25101","0.78","0.88"
"25121","0.80","0.87"
"25141","0.83","0.88"
"25161","0.85","0.88"
"25181","0.85","0.86"
"25201","0.85","0.85"
"25221","0.86","0.86"
"25241","0.85","0.85"
"25261","0.78","0.83"
"25281","0.76","0.84"
"25301","0.74","0.84"
"25321","0.68","0.84"
"25341","0.67","0.83"
"25361","0.68","0.81"
"25381","0.71","0.83"
"25401","0.73","0.85"
"25421","0.76","0.86"
"25441","0.76","0.85"
"25461","0.77","0.85"
"25481","0.76","0.87"
"25501","0.79","0.88"
"25521","0.83","0.90"
"25541","0.81","0.90"
"25561","0.81","0.92"
"25581","0.81","0.92"
"25601","0.75","0.91"
"25621","0.69","0.88"
"25641","0.68","0.90"
"25661","0.73","0.91"
"25681","0.76","0.90"
"25701","0.73","0.90"
"25721","0.67","0.88"
"25741","0.65","0.86"
"25761","0.60","0.81"
"25781","0.52","0.79"
"25801","0.55","0.79"
"25821","0.60","0.81"
"25841","0.64","0.81"
"25861","0.62","0.82"
"25881","0.65","0.83"
"25901","0.64","0.82"
"25921","0.70","0.83"
"25941","0.64","0.83"
"25961","0.68","0.87"
"25981","0.69","0.87"
"26001","0.70","0.88"
"26021","0.67","0.87"
"26041","0.62","0.85"
"26061","0.59","0.83"
"26081","0.57","0.83"
"26101","0.59","0.82"
"26121","0.55","0.81"
"26141","0.64","0.83"
"26161","0.64","0.83"
"26181","0.68","0.84"
"26201","0.70","0.83"
"26221","0.75","0.86"
"26241","0.78","0.88"
"26261","0.84","0.91"
"26281","0.86","0.92"
"26301","0.89","0.94"
"26321","0.92","0.96"
"26341","0.93","0.96"
"26361","0.95","0.97"
"26381","0.95","0.98"
"26401","0.96","1.00"
"26421","0.93","0.98"
"26441","0.95","0.97"
"26461","0.93","0.97"
"26481","0.94","0.97"
"26501","0.93","0.97"
"26521","0.92","0.97"
"26541","0.86","0.96"
"26561","0.82","0.96"
"26581","0.80","0.96"
"26601","0.80","0.95"
"26621","0.81","0.96"
"26641","0.76","0.96"
"26661","0.75","0.95"
"26681","0.73","0.93"
"26701","0.70","0.93"
"26721","0.68","0.93"
"26741","0.77","0.94"
"26761","0.78","0.93"
"26781","0.77","0.91"
"26801","0.76","0.92"
"26821","0.79","0.93"
"26841","0.83","0.93"
"26861","0.84","0.93"
"26881","0.85","0.93"
"26901","0.87","0.91"
"26921","0.85","0.88"
"26941","0.83","0.87"
"26961","0.82","0.86"
"26981","0.82","0.86"
"27001","0.81","0.85"
"27021","0.79","0.85"
"27041","0.78","0.86"
"27061","0.79","0.86"
"27081","0.79","0.87"
"27101","0.78","0.89"
"27121","0.82","0.92"
"27141","0.81","0.92"
"27161","0.84","0.93"
"27181","0.84","0.95"
"27201","0.86","0.96"
"27221","0.88","0.96"
"27241","0.89","0.96"
"27261","0.88","0.95"
"27281","0.86","0.93"
"27301","0.88","0.93"
"27321","0.82","0.91"
"27341","0.80","0.91"
"27361","0.78","0.91"
"27381","0.79","0.91"
"27401","0.76","0.91"
"27421","0.76","0.91"
"27441","0.72","0.87"
"27461","0.71","0.86"
"27481","0.74","0.88"
"27501","0.72","0.86"
"27521","0.78","0.87"
"27541","0.81","0.87"
"27561","0.82","0.87"
"27581","0.83","0.87"
"27601","0.84","0.84"
"27621","0.82","0.82"
"27641","0.82","0.83"
"27661","0.84","0.86"
"27681","0.83","0.85"
"27701","0.83","0.87"
"27721","0.82","0.86"
"27741","0.81","0.85"
"27761","0.79","0.85"
"27781","0.77","0.85"
"27801","0.77","0.86"
"27821","0.79","0.88"
"27841","0.83","0.91"
"27861","0.82","0.90"
"27881","0.82","0.86"
"27901","0.79","0.82"
"27921","0.81","0.83"
"27941","0.80","0.84"
"27961","0.77","0.82"
"27981","0.74","0.79"
"28001","0.73","0.81"
"28021","0.64","0.72"
"28041","0.59","0.69"
"28061","0.47","0.68"
"28081","0.37","0.73"
"28101","0.35","0.76"
"28121","0.27","0.73"
"28141","0.24","0.72"
"28161","0.26","0.71"
"28181","0.23","0.72"
"28201","0.22","0.69"
"28221","0.28","0.75"
"28241","0.31","0.75"
"28261","0.34","0.78"
"28281","0.33","0.77"
"28301","0.36","0.78"
"28321","0.40","0.82"
"28341","0.49","0.85"
"28361","0.57","0.86"
"28381","0.65","0.89"
"28401","0.71","0.91"
"28421","0.73","0.91"
"28441","0.75","0.91"
"28461","0.79","0.88"
"28481","0.87","0.91"
"28501","0.90","0.92"
"28521","0.90","0.92"
"28541","0.88","0.91"
"28561","0.88","0.91"
"28581","0.86","0.89"
"28601","0.86","0.90"
"28621","0.87","0.91"
"28641","0.87","0.93"
"28661","0.85","0.93"
"28681","0.85","0.92"
"28701","0.84","0.92"
"28721","0.85","0.92"
"28741","0.87","0.93"
"28761","0.87","0.94"
"28781","0.90","0.96"
"28801","0.88","0.94"
"28821","0.89","0.95"
"28841","0.90","0.93"
"28861","0.91","0.95"
"28881","0.90","0.95"
"28901","0.90","0.94"
"28921","0.89","0.94"
"28941","0.89","0.93"
"28961","0.88","0.92"
"28981","0.84","0.92"
"29001","0.82","0.93"
"29021","0.81","0.89"
"29041","0.80","0.91"
"29061","0.81","0.89"
"29081","0.83","0.89"
"29101","0.81","0.89"
"29121","0.83","0.89"
"29141","0.81","0.88"
"29161","0.82","0.88"
"29181","0.85","0.88"
"29201","0.87","0.88"
"29221","0.88","0.92"
"29241","0.87","0.92"
"29261","0.85","0.92"
"29281","0.85","0.92"
"29301","0.87","0.94"
"29321","0.87","0.93"
"29341","0.86","0.93"
"29361","0.86","0.93"
"29381","0.84","0.90"
"29401","0.87","0.89"
"29421","0.87","0.90"
"29441","0.88","0.90"
"29461","0.90","0.90"
"29481","0.88","0.87"
"29501","0.87","0.87"
"29521","0.88","0.88"
"29541","0.88","0.89"
"29561","0.87","0.91"
"29581","0.88","0.94"
"29601","0.88","0.95"
"29621","0.87","0.95"
"29641","0.86","0.94"
"29661","0.85","0.95"
"29681","0.87","0.97"
"29701","0.88","0.96"
"29721","0.87","0.95"
"29741","0.89","0.96"
"29761","0.90","0.96"
"29781","0.92","0.96"
"29801","0.93","0.96"
"29821","0.94","0.96"
"29841","0.94","0.97"
"29861","0.96","0.97"
"29881","0.96","0.97"
"29901","0.97","0.99"
"29921","0.98","1.00"
"29941","0.98","1.00"
"29961","1.00","1.00"
